,State,County,Year,Total,Heroin,Other,Methadone,Population,Unemployment
0,Alabama,Baldwin,2011,10,0,0,0,186717,9
1,Alabama,Cullman,2011,0,0,0,0,80536,9.5
2,Alabama,Etowah,2011,0,0,0,0,104303,10
3,Alabama,Jefferson,2011,39,10,28,10,658931,9.3
4,Alabama,Madison,2011,14,0,12,0,340111,8.3
5,Alabama,Mobile,2011,12,0,0,0,412577,10.8
6,Alabama,Shelby,2011,10,0,0,0,197936,6.2
7,Alabama,St. Clair,2011,0,0,0,0,84398,8.8
8,Alabama,Tuscaloosa,2011,0,0,0,0,197211,8.3
9,Alabama,Walker,2011,20,0,0,17,66661,11.3
10,Alaska,Anchorage Borough,2011,32,0,23,0,0,0
11,Alaska,Fairbanks North Star Borough,2011,0,0,0,0,99192,6.4
12,Alaska,Juneau Borough,2011,0,0,0,0,0,0
13,Alaska,Kenai Peninsula Borough,2011,0,0,0,0,56293,9.5
14,Alaska,Matanuska-Susitna Borough,2011,14,0,0,0,0,9.2
15,Arizona,Cochise,2011,0,0,0,0,133289,9.5
16,Arizona,Maricopa,2011,255,78,166,17,3880244,8.6
17,Arizona,Mohave,2011,38,0,36,0,202351,12.3
18,Arizona,Pima,2011,125,33,74,28,989569,8.5
19,Arizona,Pinal,2011,25,0,21,0,382992,9.8
20,Arizona,Yavapai,2011,25,0,22,0,211888,9.9
21,Arkansas,Benton,2011,11,0,0,0,227556,6.5
22,Arkansas,Crawford,2011,10,0,0,0,61944,8.9
23,Arkansas,Garland,2011,12,0,0,0,97124,8.8
24,Arkansas,Pulaski,2011,20,0,18,0,386299,7.5
25,Arkansas,Saline,2011,0,0,0,0,109526,6.7
26,Arkansas,Sebastian,2011,0,0,0,0,127127,8.7
27,California,Alameda,2011,39,0,29,0,1529875,10.1
28,California,Butte,2011,21,0,15,0,220266,13.7
29,California,Contra Costa,2011,35,0,21,16,1066096,10.3
30,California,Fresno,2011,58,0,46,16,942904,16.5
31,California,Humboldt,2011,23,0,15,0,134761,10.6
32,California,Kern,2011,39,20,12,0,851710,14.8
33,California,Lake,2011,20,0,16,0,64323,14.5
34,California,Lassen,2011,10,0,0,0,34200,13.5
35,California,Los Angeles,2011,249,145,171,26,9889056,12.2
36,California,Madera,2011,17,0,17,0,152925,16.2
37,California,Marin,2011,0,0,0,0,255031,7.3
38,California,Mendocino,2011,0,0,0,0,87553,11.4
39,California,Merced,2011,0,0,0,0,259898,17.6
40,California,Monterey,2011,29,0,13,11,421898,12.7
41,California,Orange,2011,219,0,190,47,3055745,9.1
42,California,Placer,2011,11,0,0,0,357138,10.8
43,California,Riverside,2011,99,32,64,13,2239620,13.2
44,California,Sacramento,2011,49,0,27,17,1436105,12.1
45,California,San Bernardino,2011,49,11,33,0,2065377,12.9
46,California,San Diego,2011,271,68,183,56,3140069,10.3
47,California,San Francisco,2011,106,10,66,50,812826,0
48,California,San Joaquin,2011,75,0,47,33,696214,16.2
49,California,San Luis Obispo,2011,16,0,11,0,271969,9.6
50,California,San Mateo,2011,16,0,15,0,727209,7.5
51,California,Santa Barbara,2011,0,0,0,0,426878,9.4
52,California,Santa Clara,2011,50,0,38,11,1809378,9.3
53,California,Santa Cruz,2011,25,0,14,10,264298,13.1
54,California,Shasta,2011,17,0,12,0,177774,15.9
55,California,Siskiyou,2011,0,0,0,0,44507,17
56,California,Solano,2011,11,0,11,0,416471,12.2
57,California,Sonoma,2011,24,0,13,10,488116,10.2
58,California,Stanislaus,2011,15,0,0,0,518522,16.5
59,California,Tulare,2011,19,0,13,0,449253,17.1
60,California,Tuolumne,2011,0,0,0,0,54953,14.5
61,California,Ventura,2011,83,31,55,11,831771,10.2
